,zalando,aboutyou,brand
0,b33f55d6-0149-4063-8b63-3eeae63562a2,ad5ceb87-0254-4171-b650-1d4d09f48efc,10
1,f04bef4a-f771-4749-914c-1b22718523b8,b68dd42a-9bda-46e2-aa4e-3d7c50881bb2,10
2,396c292a-cda8-4477-ac67-86701fc8ab95,7d19213c-b3ea-406a-ac8e-8299823c7bb4,10
3,e72b5d05-fd06-46e9-a183-5e2e26ed18bb,22344dcd-2eca-4576-a89d-916cc47f6cb4,10
4,87b7841b-f44e-4652-ace4-2ac975510226,c2f1a132-c013-4e78-8582-6d3001e05cbf,10
5,86eab5f3-6254-4339-8abd-322a736c8824,4aae1500-274a-4ab0-b820-9ee88709f583,31
6,76ec7de0-f1f8-4ccf-ae87-f62b295dbfdf,b8a5f1eb-f85d-4509-bd28-52904f83803f,31
7,a91c95ab-8887-4f39-ade8-ed9d4217f670,68777769-75b9-4214-83a6-22b609d160d2,33
8,a549a54e-6742-4392-9d07-3696f885e3b4,a5e0929e-f273-40de-80ef-3b31f155c638,33
9,91893197-facc-45e5-87d6-afd472937eec,e420022c-5413-4498-a6a2-1ade58b77bc9,33
10,1b027d90-3e34-4842-9054-dbb85802d10e,534be018-f6b4-43b0-83f2-592986268a03,33
11,d6a19e5d-40e7-4254-9dfc-8d34e18492eb,bf01cde7-a3a7-4234-bb68-6c11e2322a26,39
12,16bf8da0-6543-4664-a3cf-157153b8e732,3a922d61-d43b-430f-a4df-a5c0f69e780b,39
13,ac3432a4-0bad-426b-b7aa-259f9aebec88,1efe34bd-33da-4f22-bf5d-559d414c5479,54
14,7ed18c0a-6cf2-40e2-aa34-0536d19209c0,360b8728-8261-468b-a6e3-1c11faf84b96,65
15,04077026-c6bc-427e-af9a-143399e27492,0823676b-c121-44b7-a191-08bfdf1e6321,65
16,3dac40ef-7570-41a2-965d-bf51b0eea926,70b060c5-a522-4a8e-ae57-4b94df67794a,66
17,6b965f15-6428-4e7f-b30f-d2db624050c3,44bd09a4-5e65-4464-b63f-2d83500bc0de,77
18,60e967d9-7bcf-4ba2-9429-acab4931a9a7,7025d0a0-8d20-414b-b1cd-73424b4cdc8c,77
19,fd38af22-995f-4d98-9fb2-fc028042b2a1,0e8c3ed9-d00d-49d9-a7d8-91c48bab4ed1,77
20,694aa396-1b05-42b4-8ecd-b34391bc1373,078a6e60-0c4a-4cf0-a616-05d47943a330,77
21,662fd431-f00b-4383-a201-fdfd62ec8226,73c47ddc-2c60-426b-89cc-6da82e21f0c8,77
22,fb34e47a-0685-4805-9703-3017950fc90c,ce0b76c1-8ff8-4ee6-8420-72930ebcd574,77
23,e35d4750-2e63-4baf-90e0-6b698ea41c3b,2759550b-ccdc-4baa-b951-5acb72bd8f04,77
24,5da0a70f-a70a-4a70-a8d5-c7f2338343d3,d06197e6-8f62-414f-9203-fdb6c822d34e,77
25,ef4d398b-1cb3-4e01-8e61-8f5f8691876a,1019bfa6-38db-4fdc-bea4-e0459aa46034,78
26,e1212bb8-120b-484d-869d-ae44040742e4,3b51ce2e-213a-49f4-aebb-c59734407262,81
27,4249230f-6d36-4ff8-9b84-35965cb687d1,7fcc2c25-134a-4ba3-94aa-15ba7c8017dd,97
28,d4e4c2af-f9f5-4496-bbca-5e455765405c,ecd4cb6f-4582-425e-abc1-432df537257e,101
29,65f9ff2f-0321-48bd-82ff-1d2045464863,91ab7623-27ad-4047-a530-f1948b9a8b67,101
30,c6ee257c-45d8-4623-984b-e74f81413cff,33ec87e8-d907-4765-ba32-bda9141eef81,10
31,4a9414ec-4ded-43c9-97d9-33b93a94d406,f244ea13-54a8-42c8-9530-30e2c321bf50,10
32,b2c14810-79a2-48cf-a288-39e806f51572,86e5df24-6b18-4d3d-81b7-c4a64488be80,10
33,ca08d77c-07f7-40ce-afa2-b6a075028b36,e5e6dbb3-641f-4c6e-9648-689714ef55b7,10
34,0cbd1473-f458-4037-9477-5cd1fbf474f4,def3475b-d06b-478d-bf0e-ebc5c19ec1a1,109
35,38d7749c-dcc8-4a90-aa2d-e9d22da019ac,4cc59642-7671-4f73-a468-81572daa83d8,109
36,4ee45d46-39c4-4d5b-80f6-2a916d184e18,41274383-3f74-4594-8688-ba08e9590e85,109
37,4e040339-99dd-4752-bb95-8d814bc55271,d18d39f9-a902-470b-875b-5656ccdff66e,118
38,7bec9b7a-c8d1-4c3d-bc94-5acba7157b92,9b062df1-417f-49ee-abe3-b03366bcdd36,118
39,e54d3f57-512a-4fe9-9874-7f647d3025e4,3c9c301c-4f04-424e-b2e5-6f4976b54e0f,158
40,c64538c6-2be2-4417-8e7a-5b26ac6ac668,79e8c9f1-a286-4d00-bb8c-83775d31aedc,158
41,836f55b7-1fe0-4c3c-82f3-96fd9b4c4b46,3ab3d5a2-b26e-435f-b968-9f8749be1c94,158
42,cb60994a-c6a5-465a-90d7-ec5fef09e7be,d14c92b1-273c-4f11-8014-1d4d45c2159b,158
43,9151cf81-4b37-47bb-b416-2e630dcd8332,335fa253-9bb7-4d23-aa46-9333311abeba,158
44,a613a668-e296-49c9-8a52-548fc2c41bbf,f1c98493-d4a6-418c-8550-95d2dc466b82,158
45,3d5b7967-ff18-4b92-af56-fc060554e5fb,36aa6a9e-01a7-41ae-bc35-60266c367af8,148
46,16303c1a-df58-4f1d-a936-bfdd7c288ea3,2f5644e9-e1ed-48ca-a292-0eff8802748b,158
47,7a385487-70aa-446e-9e20-77e9a7d39ecb,5b78ffb3-7cfc-433a-baf8-623ee3b4c322,158
48,34aba41d-92cd-4719-ba6c-6d22236c02a5,1229406f-fd06-4cb1-8a2c-7dd210fad395,158
49,eb3336e6-1656-4e35-b603-f5869a2272f1,7281cb8a-b34a-4ef1-b200-38897b9d0ddd,155
50,e352ae78-2c43-4545-a44e-f5e462f93bdb,bf53563b-48bf-4d43-ac9e-bfb0552fc727,155
51,6309d6e7-15c2-4700-94b5-032175b51132,e75a31c6-d679-408c-95e0-b6bac176571f,158
52,d70908a6-05b1-456b-a772-6176e1cd5380,3708672a-5986-4673-a89b-c10e48cf0701,158
53,2cb1abbc-6eee-4cd8-a285-70bce878f3f9,e0951815-c056-4cfa-96d4-d368a608f535,158
54,56b7254a-ca56-457b-938f-5c8e0af3689b,b97fd595-a612-4e69-80c3-27a279cd800e,174
55,76c6c0a9-26f2-4111-b83f-f607ecfd4d33,c9b13c5d-5b78-4cc0-a280-169f6725bbfd,718
56,97763dd5-f220-4352-87f3-5edb9f98918a,cfbd0cac-a8b2-48f0-9c96-b8a87a090638,718
57,38670a67-ca1d-4b3e-bc9a-89f8d495b82e,57197686-0b35-468e-a034-0ce7db4663d0,718
58,8fd735d1-dbe3-49c9-aef9-4208b7193f0f,1796fa08-fcc2-481c-a462-6ed191ebf781,718
59,d192d1e9-5017-4196-aaac-679507446e15,14b3b27b-808b-440d-8163-da6ccd432d82,718
60,b7dd8c84-0541-4e81-a9f2-75c33ab1815b,7cca6b7b-0397-46f2-b2c5-50f307f5958f,718
61,c749a3b6-0168-4ced-82ae-c03e4f69d461,66335cd6-7c5e-40f4-aba8-53bf2c40565a,718
62,1d5f6d30-4934-4998-8ad4-ac694ddc09c0,3c986de2-aad3-4576-a5df-8b3a6494c2e6,718
63,a4f44b27-ccd9-4129-96ae-d86bfe71cfc9,17767ccf-53aa-43e6-a5e8-646b055b6b50,718
64,1299723d-c10b-43b5-be4d-1593e6f4df25,636a9369-21bc-455d-81bc-60c4f8b25b29,196
65,f85147ed-99bb-4cae-9800-dc156afce5b6,5fa9ae6f-95ca-4d06-8d91-98d425c56da7,196
66,fa2b0f41-3bea-4909-baac-836421ca6a98,20dbed88-478b-4d79-8026-8dca41a44c41,211
67,1a99e63f-43cc-49b8-bd2c-4c4e9ac021bb,613f6439-c067-4c35-975b-6e12d231d08c,211
68,d9091343-ded1-4b3a-be47-d44e795e45eb,88e56c23-7e81-4efc-9117-eb93e454a976,211
69,2af31144-8fb0-4a0a-a00c-abf87b3faf75,efc96217-3b3f-441c-814b-d09bd8b24c1e,211
70,714558c1-b980-4e9d-87ee-d4b54a2f1ac9,3a9b3137-48f0-4851-b00e-1cb95fe721a8,211
71,9cf15fc4-03e2-49ed-b419-f38128c6204a,d4000eae-044f-4e08-98e9-b55e3be11e5d,211
72,8f2b944d-5e86-4196-a616-cc071739f3e6,0069d438-1e70-4d69-a9c7-6547afb0cae1,211
73,3881e33d-f584-4ce4-b28b-a3fcadb42b25,bccecadb-3f33-43eb-a659-58f498639b31,211
74,8cc061de-f465-43c8-b733-2f14b155fa62,10299332-44aa-43ab-a5fe-e40eadaf00b4,211
75,e5040795-37be-4f65-a2da-c25f158e1a3f,64cffcec-18c4-43c6-a794-c15f76a144af,211
76,21fb760a-ba3f-42bb-a363-709aa9154107,0bbd66d7-6756-4c0c-8a61-a194fcc93538,211
77,498c3a08-94f5-49e4-8cbd-f5b9a74a9dfc,0e35f283-b0ba-4de3-b2bf-728bf070c2e4,211
78,57577cb4-101c-4ac3-aa70-15022766502d,f8dd1e1e-f6d8-4702-9f16-1a98bb472cde,212
79,903ee8cf-db87-46d5-ae8a-8f0b846f9a65,abbd460b-a634-45ab-be1e-5cc79c39bbff,213
80,6fd68c75-77cd-40f2-a784-faefae50ff50,5b28994a-1e38-4118-beeb-e1839a123fb6,220
81,043ba38e-7c28-4b80-a500-3c16ea7ed179,58133768-6660-4699-b7d4-116aed6f9d65,10
82,b124f0b0-0672-4cbe-a91c-964284119470,2e1943d7-287c-47dd-a84c-dac91a7fa378,10
83,8a74a62b-a9e6-4b89-a7ef-f48718fef7f6,419c7975-5f3a-4bad-a34c-44f5764a1d93,10
84,552bda92-2dd4-4c37-a027-a380b4c9b780,90bd5f1c-7fdc-46cf-b929-c37e4540b6bd,10
85,962b787a-56a8-4fe7-aafb-0e502ba6eab0,222788b3-d3eb-4025-8abf-ff833180175c,211
86,65a45bb6-d13b-49b0-bdb3-159c2f3a8972,a2fc533b-b138-4e48-8edf-6beda9d981ec,211
87,e533383f-6fa8-4b92-892a-82f64b08f6fc,c7851d2f-340f-420a-a113-2e8402aa237a,31
88,3c23ede4-f6f3-47cc-85d4-1b5a187d55c3,f698876a-cf2a-46f3-bc70-2214789b869c,33
89,92b72bdc-60e5-438a-a612-72f7c4bd6254,9061ea22-c7a1-4543-afab-813dce063ddd,33
90,2617b241-6c38-418b-9a4d-f89a002688cb,ea81eff4-cd6d-44eb-aac4-92e23bed7329,39
91,ce9167ee-9b09-4ab3-857a-a4a622de66b5,8f89805a-5973-4a88-93ed-b29fe2516f78,54
92,40470a75-ff0e-435b-a252-2dcedbe7da5f,22933e52-05b2-4a61-b88e-f7b08e09ce31,247
93,52d4e97c-5f1e-4c4d-b1fd-93c5e195a137,d9004b0e-d841-4623-b154-a26ca07ee06a,65
94,9e62cf13-3fc7-414f-bb80-78ebf7c90e0e,283f7640-bcd4-4409-8b17-d642c0f8056f,65
95,15257a6c-f446-4545-86e3-bab0aa87b788,4e79aa96-caca-40de-92ea-0f3bd1fefea8,65
96,6272dbae-29fa-41ad-a0b8-413938ebba67,afe9d5c4-31e7-48af-ac6d-5a0481bce246,65
97,5627be1a-a799-4c2a-a6db-5a1594824614,3811a0fb-c7fa-4cdb-9971-134005601b03,66
98,d4108d8c-61f2-46e7-b26f-1607eee693a6,ed645855-6986-441c-9458-7ddde27c1c01,250
99,e81acc81-4804-4c74-a48a-a0f5e7a7cae9,0760aca7-eba5-4980-b102-f1e9d3d2156a,250
100,251d0f4d-8d98-48cc-83ca-883503bb3034,993614f7-1c9c-4c7a-bc5b-f2237df3fef8,250
101,1b8e005c-b100-4805-afc4-2793c2a4cd68,456a0f92-36f8-4ebe-af09-5bc11c2f8bcd,77
102,5371c891-4ed7-49ff-bc93-5c88684cf9d4,cfab6246-90c0-4ee3-8648-cda69c10d915,77
103,34f95e4b-ce26-4e72-941e-7ae48d04ae9b,360512c2-8667-4ebd-ba57-93a5aa89a346,77
104,032a27a9-eaa1-405b-8918-d1bfbe20aa55,f2401cc7-485e-4b55-bfeb-e14dc8402d70,77
105,221dc402-aeb7-42da-8885-ec682297a61d,acd7ec3d-e604-4b29-a146-d160435430c3,77
106,6eeb8dd5-a860-49c3-be47-bff3d949bea7,8ca2a18f-b441-4a6c-aebf-f7cd7bd3f2ce,77
107,6c890ed9-2711-4e87-9eb9-ef5520a34ded,a6d6de56-8aea-4fec-a45a-97c2e54724d0,77
108,b5b1d92d-4f3d-49c6-944b-e2f4d1b4a081,e8c51bbb-5321-4367-b794-07df9f1f94a1,77
109,3cb009ef-09b7-4349-a3e2-44529402fda6,4d3142e7-7653-4a79-9e0a-0c5bb982fddf,77
110,56e58b62-fdbb-4b34-8258-8687345d8b0f,91988fcf-e7d1-4ed6-8483-b26081807428,77
111,43af88c7-f585-48d4-b3e8-aa155525c40c,e6164844-bb7d-454e-ac9b-e6a1c9c77ba4,77
112,d8a76866-f4e1-4ea9-9e91-b35dbdc7a373,15410f91-c836-4e3d-be6a-efb956d71bfa,77
113,6bf87da7-735c-4b13-b082-6e32ca3b50c3,5413e385-8d8e-4f54-a4f1-edadceea97d8,10
114,5fbd6e75-9c20-4880-bd5f-ef24e357442d,f5952712-4387-4813-8474-ca72212f660e,10
115,8a91755d-7642-41cc-9486-de19deef6567,6c797fa1-cf1d-42da-abe2-0e367006da76,10
116,18a4a17a-7019-40bc-9ef0-d583f280b81e,46e8c60c-7913-4f82-9bd7-a352bd28224a,10
117,d01a6c01-4a4f-4517-b7d6-c9fea52bd64f,c0be0969-5014-4ad0-9331-501bcd1a2621,10
118,170386c4-5065-41da-b6e7-cc4ba4197ebc,dfc3c4b1-8f5c-4643-ab37-96990c133d47,109
119,ddbc6d81-280b-443c-80be-40e06bbf2f60,1377ab93-4dae-446e-a47c-73d163015129,109
120,7c808794-e53f-4be2-ae2d-eb69a321075d,aee3f523-d2ae-418a-b620-bc5e5da1daab,158
121,ae0a72ce-7079-47da-91bc-f8003b4798ae,5233f8c2-f408-4512-b5e1-e7702b6740a3,158
122,e35e7e28-f59f-4b89-9eb2-7e4078010dc3,f9884fc3-aab0-40e0-adec-4976beabf13f,158
123,5ce166a9-faed-4443-8863-fba9ddeb76f7,43fa9abc-8ac1-4595-8a5e-6b3ad08d6e20,158
124,478fa029-559b-47cb-ac11-908c665a94f3,1a7bcf03-52be-4bf3-b4c7-ce848d775511,158
