CSD,SCHOOL CODE,SCHOOL NAME,GRADE,PROGRAM TYPE,AVERAGE CLASS SIZE,SIZE OF LARGEST CLASS,SIZE OF SMALLEST CLASS
1,M015,P.S. 015 Roberto Clemente,0K,GEN ED,19,19,19
1,M019,P.S. 019 Asher Levy,0K,GEN ED,19.5,21,18
1,M020,P.S. 020 Anna Silver,0K,GEN ED,22.3,23,20
1,M034,P.S. 034 Franklin D. Roosevelt,0K,GEN ED,13,14,12
1,M063,P.S. 063 William McKinley,0K,GEN ED,14,14,14
1,M064,P.S. 064 Robert Simon,0K,GEN ED,23,23,23
1,M110,P.S. 110 Florence Nightingale,0K,GEN ED,22.5,25,20
1,M134,P.S. 134 Henrietta Szold,0K,GEN ED,18.3,19,17
1,M137,P.S. 137 John L. Bernstein,0K,GEN ED,21.5,23,20
1,M140,P.S. 140 Nathan Straus,0K,GEN ED,17,17,17
1,M142,P.S. 142 Amalia Castro,0K,GEN ED,21,23,19
1,M184,P.S. 184m Shuang Wen,0K,GEN ED,25.7,26,25
1,M188,P.S. 188 The Island School,0K,GEN ED,22,22,22
1,M292,Henry Street School for International Studies,09-12,GEN ED,21,25,19
1,M292,Henry Street School for International Studies,09-12,GEN ED,26.3,31,24
1,M292,Henry Street School for International Studies,09-12,GEN ED,19,22,16
1,M292,Henry Street School for International Studies,09-12,GEN ED,23,30,13
1,M292,Henry Street School for International Studies,09-12,GEN ED,17.7,21,16
1,M363,Neighborhood School,0K,GEN ED,15,22,11
1,M292,Henry Street School for International Studies,09-12,GEN ED,32,32,32
1,M292,Henry Street School for International Studies,09-12,GEN ED,19.7,27,13
1,M292,Henry Street School for International Studies,09-12,GEN ED,31.3,35,28
1,M292,Henry Street School for International Studies,09-12,GEN ED,29,29,29
1,M292,Henry Street School for International Studies,09-12,GEN ED,19.6,24,13
1,M292,Henry Street School for International Studies,09-12,GEN ED,13,13,13
1,M292,Henry Street School for International Studies,09-12,GEN ED,21.3,24,18
1,M292,Henry Street School for International Studies,09-12,GEN ED,22.3,31,10
1,M292,Henry Street School for International Studies,09-12,GEN ED,20.7,28,15
1,M292,Henry Street School for International Studies,09-12,SPEC ED,15,15,15
1,M292,Henry Street School for International Studies,09-12,SPEC ED,15,15,15
1,M292,Henry Street School for International Studies,09-12,SPEC ED,15,15,15
1,M292,Henry Street School for International Studies,09-12,SPEC ED,14,14,14
1,M315,The East Village Community School,0K,GEN ED,14,14,14
1,M332,University Neighborhood Middle School,09-12,GEN ED,20,20,20
1,M332,University Neighborhood Middle School,09-12,GEN ED,24,27,22
1,M332,University Neighborhood Middle School,09-12,SPEC ED,10.5,11,10
1,M332,University Neighborhood Middle School,09-12,SPEC ED,11,12,10
1,M361,The Children's Workshop School,0K,GEN ED,21.5,22,21
1,M364,Earth School,0K,GEN ED,20,21,19
1,M378,School for Global Leaders,09-12,GEN ED,33,33,33
1,M448,University Neighborhood High School,09-12,GEN ED,17.7,27,13
1,M448,University Neighborhood High School,09-12,GEN ED,16.6,26,10
1,M448,University Neighborhood High School,09-12,GEN ED,21.3,26,16
1,M448,University Neighborhood High School,09-12,GEN ED,20.3,29,13
1,M448,University Neighborhood High School,09-12,GEN ED,23.7,31,17
1,M448,University Neighborhood High School,09-12,GEN ED,18,18,18
1,M448,University Neighborhood High School,09-12,GEN ED,25,29,19
1,M448,University Neighborhood High School,09-12,GEN ED,25,25,25
1,M448,University Neighborhood High School,09-12,GEN ED,19,19,19
1,M448,University Neighborhood High School,09-12,GEN ED,26.4,32,24
1,M448,University Neighborhood High School,09-12,GEN ED,27,31,23
1,M448,University Neighborhood High School,09-12,GEN ED,23,23,23
1,M448,University Neighborhood High School,09-12,GEN ED,29,29,29
1,M448,University Neighborhood High School,09-12,GEN ED,19.8,27,12
1,M448,University Neighborhood High School,09-12,GEN ED,21.6,32,15
1,M448,University Neighborhood High School,09-12,GEN ED,22.3,29,16
1,M450,East Side Community School,09-12,GEN ED,25.5,28,23
