DBN,Name,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,grade1,grade2,grade3,grade4,grade5,grade6,grade7,grade8,grade9,grade10,grade11,grade12,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per
01M015,P.S. 015 ROBERTO CLEMENTE,20102011,96.5,203,14.8,22.7,35,33,30,30,25,NA,NA,NA,NA,NA,NA,NA,13,6.4,75,36.9,110,54.2,4,2,113,55.7,90,44.3
01M015,P.S. 015 ROBERTO CLEMENTE,20112012,89.4,189,10.6,21.2,35,28,25,28,29,NA,NA,NA,NA,NA,NA,NA,12,6.3,63,33.3,109,57.7,4,2.1,97,51.3,92,48.7
01M019,P.S. 019 ASHER LEVY,20102011,82,328,9.5,18.6,53,47,41,49,49,NA,NA,NA,NA,NA,NA,NA,48,14.6,89,27.1,155,47.3,31,9.5,155,47.3,173,52.7
01M019,P.S. 019 ASHER LEVY,20112012,61.5,328,10.1,18,52,54,52,46,46,NA,NA,NA,NA,NA,NA,NA,51,15.5,81,24.7,158,48.2,28,8.5,147,44.8,181,55.2
01M020,PS 020 ANNA SILVER,20102011,97.1,625,23,16.8,98,84,82,100,89,NA,NA,NA,NA,NA,NA,NA,176,28.2,51,8.2,374,59.8,17,2.7,333,53.3,292,46.7
01M020,PS 020 ANNA SILVER,20112012,92.5,626,20.4,15.5,121,87,88,85,91,NA,NA,NA,NA,NA,NA,NA,190,30.4,55,8.8,357,57,16,2.6,330,52.7,296,47.3
01M034,PS 034 FRANKLIN D ROOSEVELT,20102011,99.2,393,11.5,24.2,38,43,28,37,37,53,57,54,NA,NA,NA,NA,27,6.9,81,20.6,270,68.7,10,2.5,199,50.6,194,49.4
01M034,PS 034 FRANKLIN D ROOSEVELT,20112012,99.7,401,8.5,26.4,38,36,45,28,40,55,55,56,NA,NA,NA,NA,22,5.5,90,22.4,275,68.6,8,2,204,50.9,197,49.1
01M063,PS 063 WILLIAM MCKINLEY,20102011,83.6,181,2.8,27.1,20,26,26,23,39,NA,NA,NA,NA,NA,NA,NA,13,7.2,34,18.8,113,62.4,19,10.5,104,57.5,77,42.5
01M063,PS 063 WILLIAM MCKINLEY,20112012,78.9,176,3.4,25.6,30,21,31,26,30,NA,NA,NA,NA,NA,NA,NA,9,5.1,41,23.3,110,62.5,15,8.5,97,55.1,79,44.9
01M064,PS 064 ROBERT SIMON,20102011,90.5,322,6.5,30.4,47,45,40,52,53,NA,NA,NA,NA,NA,NA,NA,22,6.8,79,24.5,200,62.1,14,4.3,179,55.6,143,44.4
01M064,PS 064 ROBERT SIMON,20112012,76.9,324,9,31.5,50,42,49,48,54,NA,NA,NA,NA,NA,NA,NA,26,8,76,23.5,193,59.6,24,7.4,184,56.8,140,43.2
01M110,PS 110 FLORENCE NIGHTINGALE,20102011,65.5,435,6,17.2,64,60,71,77,56,NA,NA,NA,NA,NA,NA,NA,57,13.1,65,14.9,198,45.5,108,24.8,221,50.8,214,49.2
01M110,PS 110 FLORENCE NIGHTINGALE,20112012,52.5,440,7,13.9,75,65,53,71,75,NA,NA,NA,NA,NA,NA,NA,55,12.5,58,13.2,194,44.1,124,28.2,219,49.8,221,50.2
01M134,PS 134 HENRIETTA SZOLD,20102011,86.6,371,12.9,14,55,56,54,41,67,NA,NA,NA,NA,NA,NA,NA,94,25.3,73,19.7,200,53.9,3,0.8,175,47.2,196,52.8
01M134,PS 134 HENRIETTA SZOLD,20112012,84.1,369,16.5,16.5,57,55,60,51,43,NA,NA,NA,NA,NA,NA,NA,104,28.2,74,20.1,181,49.1,8,2.2,177,48,192,52
01M137,PS 137 JOHN L BERNSTEIN,20102011,88.4,232,16.8,21.1,41,29,42,33,23,NA,NA,NA,NA,NA,NA,NA,40,17.2,62,26.7,126,54.3,4,1.7,117,50.4,115,49.6
01M137,PS 137 JOHN L BERNSTEIN,20112012,82.2,230,14.8,23.5,43,39,27,33,27,NA,NA,NA,NA,NA,NA,NA,42,18.3,57,24.8,123,53.5,7,3,111,48.3,119,51.7
01M140,PS 140 NATHAN STRAUS,20102011,92.9,397,15.4,21.7,40,34,24,27,37,71,54,63,NA,NA,NA,NA,14,3.5,56,14.1,318,80.1,7,1.8,203,51.1,194,48.9
01M140,PS 140 NATHAN STRAUS,20112012,82.1,407,14.7,23.3,35,39,28,27,31,69,67,58,NA,NA,NA,NA,17,4.2,66,16.2,317,77.9,7,1.7,216,53.1,191,46.9
01M142,PS 142 AMALIA CASTRO,20102011,93.8,430,11.6,22.6,76,56,61,69,72,NA,NA,NA,NA,NA,NA,NA,27,6.3,58,13.5,324,75.3,14,3.3,207,48.1,223,51.9
01M142,PS 142 AMALIA CASTRO,20112012,91.8,433,12.2,22.4,63,74,58,67,64,NA,NA,NA,NA,NA,NA,NA,34,7.9,58,13.4,321,74.1,12,2.8,208,48,225,52
01M184,PS 184M SHUANG WEN,20102011,75.4,685,10.4,8,97,75,66,73,68,58,53,54,NA,NA,NA,NA,552,80.6,29,4.2,37,5.4,63,9.2,345,50.4,340,49.6
01M184,PS 184M SHUANG WEN,20112012,71.5,690,10.9,6.7,98,97,76,65,68,64,54,57,NA,NA,NA,NA,559,81,29,4.2,40,5.8,58,8.4,344,49.9,346,50.1
01M188,PS 188 THE ISLAND SCHOOL,20102011,92.6,401,13.7,21.7,30,34,34,31,48,51,61,51,NA,NA,NA,NA,5,1.2,121,30.2,257,64.1,17,4.2,211,52.6,190,47.4
01M188,PS 188 THE ISLAND SCHOOL,20112012,89.6,388,16.8,19.3,29,42,32,26,35,65,54,50,NA,NA,NA,NA,10,2.6,104,26.8,255,65.7,19,4.9,211,54.4,177,45.6
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,20102011,73.3,448,21.7,23.7,NA,NA,NA,NA,NA,25,37,58,107,85,67,69,56,12.5,126,28.1,255,56.9,9,2,267,59.6,181,40.4
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,20112012,88.6,422,22.3,24.9,NA,NA,NA,NA,NA,32,33,50,98,79,80,50,59,14,123,29.1,227,53.8,7,1.7,259,61.4,163,38.6
01M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,20102011,75.2,186,10.8,35.5,NA,NA,NA,NA,NA,50,45,91,NA,NA,NA,NA,17,9.1,46,24.7,109,58.6,11,5.9,102,54.8,84,45.2
01M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,20112012,71,170,7.6,31.2,NA,NA,NA,NA,NA,65,55,50,NA,NA,NA,NA,17,10,41,24.1,99,58.2,11,6.5,93,54.7,77,45.3
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,20102011,53.1,212,3.3,22.6,49,25,28,22,12,NA,NA,NA,NA,NA,NA,NA,18,8.5,28,13.2,67,31.6,79,37.3,125,59,87,41
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,20112012,35.2,244,2.9,21.7,41,51,24,28,22,NA,NA,NA,NA,NA,NA,NA,26,10.7,30,12.3,69,28.3,101,41.4,144,59,100,41
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,20102011,91,116,19,35.3,NA,NA,NA,NA,NA,31,34,51,NA,NA,NA,NA,2,1.7,30,25.9,83,71.6,1,0.9,64,55.2,52,44.8
