DBN,School Name,Cohort,Demographic,Total Grads - % of cohort,Total Regents - % of cohort,Advanced Regents - % of cohort,Regents w/o Advanced - % of cohort,Local - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,2005,Total Cohort,67.2%,42.2%,0%,42.2%,25%,14.1%,14.1%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,2006,Total Cohort,55.1%,46.2%,0%,46.2%,9%,20.5%,14.1%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,Total Cohort,52.9%,28.9%,3.3%,25.6%,24%,33.9%,9.1%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,Total Cohort,42.7%,33.9%,6.5%,27.4%,8.9%,37.1%,16.100000000000001%
01M450,EAST SIDE COMMUNITY SCHOOL,2005,Total Cohort,71.8%,68.2%,0%,68.2%,3.5%,12.9%,10.6%
01M450,EAST SIDE COMMUNITY SCHOOL,2006,Total Cohort,77.8%,74.400000000000006%,0%,74.400000000000006%,3.3%,16.7%,5.6%
01M509,MARTA VALLE HIGH SCHOOL,2005,Total Cohort,55.7%,43.2%,20.5%,22.7%,12.5%,22.7%,15.9%
01M509,MARTA VALLE HIGH SCHOOL,2006,Total Cohort,56%,47.6%,20.2%,27.4%,8.300000000000001%,29.8%,6%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2005,Total Cohort,45.5%,36.4%,29.2%,7.1%,9.1%,41.6%,13%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2006,Total Cohort,54.4%,47.2%,35.799999999999997%,11.4%,7.3%,27.5%,18.100000000000001%
01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2005,Total Cohort,95.9%,95.9%,77.599999999999994%,18.399999999999999%,0%,4.1%,0%
01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2006,Total Cohort,100%,100%,67.400000000000006%,32.6%,0%,0%,0%
01M650,CASCADES HIGH SCHOOL,2005,Total Cohort,32.6%,17.899999999999999%,0%,17.899999999999999%,14.7%,56.8%,7.4%
01M650,CASCADES HIGH SCHOOL,2006,Total Cohort,55.1%,40.4%,0%,40.4%,14.6%,38.200000000000003%,6.7%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2005,Total Cohort,93%,93%,0%,93%,0%,6.1%,0.9%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,Total Cohort,96.4%,96.4%,0%,96.4%,0%,2.9%,0.7%
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2005,Total Cohort,37.5%,16.7%,0%,16.7%,20.8%,37.5%,12.5%
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2006,Total Cohort,76%,32%,0%,32%,44%,16%,4%
02M288,FOOD AND FINANCE HIGH SCHOOL,2005,Total Cohort,74.7%,60.8%,0%,60.8%,13.9%,21.5%,2.5%
02M288,FOOD AND FINANCE HIGH SCHOOL,2006,Total Cohort,89.2%,75.5%,0%,75.5%,13.7%,4.9%,2.9%
02M294,ESSEX STREET ACADEMY,2005,Total Cohort,77.099999999999994%,75.7%,0%,75.7%,1.4%,21.4%,0%
02M294,ESSEX STREET ACADEMY,2006,Total Cohort,71.900000000000006%,65.2%,0%,65.2%,6.7%,16.899999999999999%,10.1%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2005,Total Cohort,81.3%,69.2%,6.6%,62.6%,12.1%,12.1%,4.4%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2006,Total Cohort,77.3%,66.7%,1.3%,65.3%,10.7%,14.7%,6.7%
02M298,PACE HIGH SCHOOL,2005,Total Cohort,83.7%,78.599999999999994%,13.3%,65.3%,5.1%,13.3%,2%
02M298,PACE HIGH SCHOOL,2006,Total Cohort,84.8%,82.6%,42.4%,40.200000000000003%,2.2%,6.5%,4.3%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2005,Total Cohort,74.7%,72.2%,5.1%,67.099999999999994%,2.5%,16.5%,3.8%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2006,Total Cohort,61.3%,56.3%,0%,56.3%,5%,30%,8.800000000000001%
