"Date"	"Player"	"Reason"	"Amount"
"2025-12-03 01:48:18"	"yourpapapa"	"Withdrawal"	"-10"
"2025-12-03 01:43:45"	"yourpapapa"	"Deposit"	"10"
"2025-12-03 01:01:54"	"Nexara"	"Deposit"	"10"
"2025-12-03 00:34:28"	"Nexara"	"Withdrawal"	"-10"
"2025-12-03 00:04:30"	"yourpapapa"	"Withdrawal"	"-10"
"2025-12-03 00:02:09"	"pandarea"	"Withdrawal"	"-10"
"2025-12-02 22:52:54"	"pandarea"	"Withdrawal"	"-10"
"2025-12-02 22:52:23"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-02 22:50:11"	"yourpapapa"	"Withdrawal"	"-10"
"2025-12-02 22:49:25"	"Nexara"	"Withdrawal"	"-10"
"2025-12-02 22:47:10"	"GooglyMoogly0001"	"Withdrawal"	"-10"
"2025-12-02 22:46:11"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-02 21:57:50"	"yourpapapa"	"Withdrawal"	"-10"
"2025-12-02 21:22:10"	"FizzyOrange"	"Deposit"	"10"
"2025-12-02 20:52:21"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-02 20:07:24"	"FizzyOrange"	"Deposit"	"5"
"2025-12-02 14:11:14"	"RovenXii"	"Deposit"	"10"
"2025-12-02 13:38:29"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-02 01:12:26"	"pandarea"	"Withdrawal"	"-10"
"2025-12-02 00:41:25"	"FishyAccountant"	"Deposit"	"27"
"2025-12-02 00:40:09"	"Nexara"	"Withdrawal"	"-10"
"2025-12-02 00:31:12"	"FishyAccountant"	"Deposit"	"25"
"2025-12-01 23:26:48"	"RovenXii"	"Deposit"	"10"
"2025-12-01 23:25:52"	"FizzyOrange"	"Deposit"	"10"
"2025-12-01 23:13:28"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-01 23:03:18"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-01 23:03:03"	"pandarea"	"Withdrawal"	"-10"
"2025-12-01 23:01:49"	"FizzyOrange"	"Deposit"	"7"
"2025-12-01 22:42:23"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-01 22:40:22"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-01 22:38:30"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-01 22:35:29"	"RovenXii"	"Deposit"	"7"
"2025-12-01 22:06:43"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-01 21:48:48"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-01 21:41:16"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-01 20:49:46"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-01 20:49:05"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-01 20:48:51"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-01 20:43:18"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-01 20:43:13"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-01 20:34:51"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-01 20:32:57"	"Oxyjhin"	"Deposit"	"10"
"2025-12-01 20:32:48"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-01 20:31:42"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-01 20:24:17"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-01 18:57:15"	"FizzyOrange"	"Deposit"	"60"
"2025-12-01 18:56:46"	"FizzyOrange"	"Deposit"	"10"
"2025-12-01 18:41:56"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-01 18:40:00"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-01 18:37:57"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-01 18:34:57"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-01 18:25:52"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-01 17:22:32"	"StrikeDestiny"	"Withdrawal"	"-10"
"2025-12-01 17:00:41"	"yourpapapa"	"Withdrawal"	"-10"
"2025-12-01 16:57:54"	"yourpapapa"	"Withdrawal"	"-10"
"2025-12-01 16:57:42"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-01 16:26:24"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-01 16:24:53"	"kokos4o"	"Withdrawal"	"-10"
"2025-12-01 16:16:58"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-01 16:02:03"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-01 15:13:07"	"Oxyjhin"	"Deposit"	"16"
"2025-12-01 14:34:14"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-01 14:34:14"	"kokos4o"	"Withdrawal"	"-10"
"2025-12-01 14:33:52"	"yourpapapa"	"Withdrawal"	"-10"
"2025-12-01 14:29:04"	"GooglyMoogly0001"	"Withdrawal"	"-10"
"2025-12-01 14:13:59"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-01 14:06:15"	"yourpapapa"	"Withdrawal"	"-10"
"2025-12-01 14:05:46"	"kokos4o"	"Withdrawal"	"-10"
"2025-12-01 13:58:13"	"GooglyMoogly0001"	"Withdrawal"	"-10"
"2025-12-01 11:47:14"	"kokos4o"	"Deposit"	"10"
"2025-12-01 11:06:03"	"kokos4o"	"Withdrawal"	"-10"
"2025-12-01 11:01:52"	"yourpapapa"	"Withdrawal"	"-10"
"2025-12-01 02:36:26"	"kokos4o"	"Deposit"	"144"
"2025-12-01 01:36:07"	"kokos4o"	"Withdrawal"	"-10"
"2025-12-01 00:51:48"	"FishyAccountant"	"Deposit"	"36"
"2025-12-01 00:23:32"	"RovenXii"	"Deposit"	"10"
"2025-12-01 00:23:12"	"FizzyOrange"	"Deposit"	"10"
"2025-12-01 00:05:24"	"FizzyOrange"	"Deposit"	"100"
"2025-12-01 00:01:57"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-01 00:01:55"	"RovenXii"	"Deposit"	"65"
"2025-12-01 00:01:22"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-30 23:53:18"	"StrikeDestiny"	"Withdrawal"	"-10"
"2025-11-30 23:18:06"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-30 23:16:28"	"Nexara"	"Withdrawal"	"-10"
"2025-11-30 22:58:15"	"Oxyjhin"	"Deposit"	"10"
"2025-11-30 22:52:43"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-30 22:45:23"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-30 22:41:12"	"pandarea"	"Withdrawal"	"-10"
"2025-11-30 22:40:53"	"Nexara"	"Withdrawal"	"-3"
"2025-11-30 22:27:17"	"RovenXii"	"Deposit"	"10"
"2025-11-30 22:24:05"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-30 22:24:04"	"RovenXii"	"Deposit"	"7"
"2025-11-30 22:20:33"	"FizzyOrange"	"Deposit"	"20"
"2025-11-30 21:55:11"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-30 21:52:32"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-30 21:41:05"	"Nexara"	"Withdrawal"	"-10"
"2025-11-30 21:40:28"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-30 20:28:12"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-30 20:12:18"	"Nexara"	"Withdrawal"	"-10"
"2025-11-30 20:02:36"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-30 20:01:02"	"RovenXii"	"Deposit"	"10"
"2025-11-30 19:59:54"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-30 19:51:37"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-30 18:40:32"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-30 18:37:15"	"StrikeDestiny"	"Withdrawal"	"-2"
"2025-11-30 18:05:01"	"StrikeDestiny"	"Withdrawal"	"-10"
"2025-11-30 17:23:51"	"Oxyjhin"	"Deposit"	"10"
"2025-11-30 17:12:36"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-30 09:43:36"	"Nexara"	"Deposit"	"10"
"2025-11-30 09:24:56"	"Nexara"	"Withdrawal"	"-10"
"2025-11-30 09:14:02"	"Nexara"	"Deposit"	"7"
"2025-11-30 08:54:57"	"Nexara"	"Deposit"	"10"
"2025-11-30 08:34:04"	"Nexara"	"Withdrawal"	"-10"
"2025-11-30 08:09:44"	"Nexara"	"Deposit"	"4"
"2025-11-30 06:02:29"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-30 01:44:14"	"kokos4o"	"Deposit"	"10"
"2025-11-30 01:43:37"	"FizzyOrange"	"Deposit"	"10"
"2025-11-30 01:16:53"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-30 01:16:39"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-29 23:50:45"	"FishyAccountant"	"Deposit"	"7"
"2025-11-29 23:42:13"	"FishyAccountant"	"Deposit"	"7"
"2025-11-29 23:33:14"	"Oxyjhin"	"Deposit"	"24"
"2025-11-29 23:26:35"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-29 23:08:29"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-29 22:55:08"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-29 22:55:03"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-29 22:47:36"	"GooglyMoogly0001"	"Withdrawal"	"-10"
"2025-11-29 22:40:03"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-29 22:01:42"	"FizzyOrange"	"Deposit"	"2"
"2025-11-29 22:01:38"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-29 21:58:40"	"FizzyOrange"	"Deposit"	"10"
"2025-11-29 21:41:50"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-29 21:27:46"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-29 20:37:32"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-29 20:36:04"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-29 20:31:35"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-29 20:16:13"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-29 19:05:49"	"FizzyOrange"	"Deposit"	"10"
"2025-11-29 17:05:20"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-29 16:57:01"	"FizzyOrange"	"Deposit"	"10"
"2025-11-29 16:44:21"	"Nexara"	"Withdrawal"	"-10"
"2025-11-29 16:34:49"	"RovenXii"	"Withdrawal"	"-10"
"2025-11-29 15:12:51"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-29 09:44:37"	"kokos4o"	"Deposit"	"10"
"2025-11-29 09:07:15"	"kokos4o"	"Withdrawal"	"-10"
"2025-11-29 02:44:07"	"Nexara"	"Withdrawal"	"-10"
"2025-11-29 02:43:58"	"yourpapapa"	"Withdrawal"	"-10"
"2025-11-29 01:50:52"	"FizzyOrange"	"Deposit"	"100"
"2025-11-29 01:14:43"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-29 00:28:24"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-28 23:09:31"	"Oxyjhin"	"Deposit"	"10"
"2025-11-28 22:36:08"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-11-28 22:35:50"	"Nexara"	"Withdrawal"	"-10"
"2025-11-28 22:01:28"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-11-28 21:50:55"	"Nexara"	"Withdrawal"	"-10"
"2025-11-28 21:48:54"	"GooglyMoogly0001"	"Withdrawal"	"-10"
"2025-11-28 21:22:40"	"Nexara"	"Withdrawal"	"-10"
